,Striked Price,availability,links,name,price,rating,reviews,sale_price
16,   499.00,In stock.,https://www.amazon.in/Leewon-Orange-Canvas-Loafers-Moccasins-8/dp/B0783P9PKB/ref=sr_1_17?s=shoes&ie=UTF8&qid=1524211788&sr=1-17&keywords=shoes,Leewon Men's Blue/Orange Canvas Loafers & Moccasins-8,0,5.0 out of 5 stars,not reviewed,   298.00
17,"   2,500.00",In stock.,https://www.amazon.in/MAGNETIC-FASHION-Corporate-Outdoors-Sneakers/dp/B079KPC5K2/ref=sr_1_18?s=shoes&ie=UTF8&qid=1524211788&sr=1-18&keywords=shoes,"MAGNETIC FASHION Casuals Canvas Shoes, Corporate Casuals, Casuals, Outdoors, Party Wear, Sneakers",   370.00,3.5 out of 5 stars,not reviewed,0
18,0,in stock,https://www.amazon.in/Kraasa-Mens-Synthetic-Leather-Sneakers/dp/B01DB93DHS/ref=sr_1_19?s=shoes&ie=UTF8&qid=1524211788&sr=1-19&keywords=shoes,Kraasa Men's Faux Leather Sneaker,   449.00 -    499.00,3.1 out of 5 stars,not reviewed,Lower price available on selected options
19,0,in stock,https://www.amazon.in/Sparx-SM-323-White-Black-Shoes/dp/B077N7BL4M/ref=sr_1_20?s=shoes&ie=UTF8&qid=1524211788&sr=1-20&keywords=shoes,Sparx Men's SM-323 DIP Shoes,"   608.00 -    2,099.00",4.5 out of 5 stars,not reviewed,Lower price available on selected options
20,0,in stock,https://www.amazon.in/Sparx-Mens-Green-Royal-Sneakers/dp/B016BZLFRO/ref=sr_1_21?s=shoes&ie=UTF8&qid=1524211788&sr=1-21&keywords=shoes,Sparx Men's Mesh Sneakers,"   609.00 -    1,450.00",3.9 out of 5 stars,not reviewed,Lower price available on selected options
21,0,in stock,https://www.amazon.in/Lancer-Mens-Black-Sports-Shoes/dp/B074J5YXJD/ref=sr_1_22?s=shoes&ie=UTF8&qid=1524211788&sr=1-22&keywords=shoes,Lancer Men's Mesh Sports Running/Walking/Gym Shoes,   499.00,3.5 out of 5 stars,not reviewed,0
22,"   1,299.00",in stock,https://www.amazon.in/Kraasa-Mens-White-Leather-Sneakers/dp/B075XQZPNM/ref=sr_1_23?s=shoes&ie=UTF8&qid=1524211788&sr=1-23&keywords=shoes,Kraasa Men's High Top Sneakers,   449.00 -    499.00,3.1 out of 5 stars,not reviewed,Lower price available on selected options
23,0,in stock,https://www.amazon.in/Adiso-Mens-Black-Casual-Shoes/dp/B078TM8TXN/ref=sr_1_24?s=shoes&ie=UTF8&qid=1524211788&sr=1-24&keywords=shoes,adiso 2018 KWAZI causal&sport shoe,   199.00 -    549.00,3.1 out of 5 stars,not reviewed,0
24,"   1,499.00",in stock,https://www.amazon.in/Rockfield-Mens-Blue-Running-Shoes/dp/B071L8JTL4/ref=sr_1_25?s=shoes&ie=UTF8&qid=1524211788&sr=1-25&keywords=shoes,Rockfield Men's Blue Running Shoes,   369.00 -    489.00,2.4 out of 5 stars,not reviewed,Lower price available on selected options
25,0,in stock,https://www.amazon.in/Kraasa-Mens-Beige-Boots-9/dp/B0761XG8HB/ref=sr_1_26?s=shoes&ie=UTF8&qid=1524211788&sr=1-26&keywords=shoes,Kraasa Men's High Top Boots,   448.00 -    499.00,3.9 out of 5 stars,not reviewed,Lower price available on selected options
26,   499.00,in stock,https://www.amazon.in/Asian-shoes-SKYPY-31-Casual-Indian/dp/B077TR5CX9/ref=sr_1_27?s=shoes&ie=UTF8&qid=1524211788&sr=1-27&keywords=shoes,Asian shoes SKYPY-31 Grey Black Men Casual Shoes,   449.00,4.3 out of 5 stars,not reviewed,0
27,0,in stock,https://www.amazon.in/T-Rock-Vision-White-Canvas-Sneaker/dp/B074GXRBF8/ref=sr_1_28?s=shoes&ie=UTF8&qid=1524211788&sr=1-28&keywords=shoes,T-Rock Vision Casual Canvas Shoes for Men's,   247.00 -    770.00,2.9 out of 5 stars,not reviewed,Lower price available on selected options
28,"   2,500.00",In stock.,https://www.amazon.in/MAGNETIC-FASHION-Corporate-Outdoors-Sneakers/dp/B079KPL8P7/ref=sr_1_29?s=shoes&ie=UTF8&qid=1524211788&sr=1-29&keywords=shoes,"MAGNETIC FASHION Casuals Canvas Shoes, Corporate Casuals, Casuals, Outdoors, Party Wear, Sneakers",   370.00,0,not reviewed,0
29,   499.00,in stock,https://www.amazon.in/Adza-Casual-Running-Sports-Shoes/dp/B06XQQ6LCK/ref=sr_1_30?s=shoes&ie=UTF8&qid=1524211788&sr=1-30&keywords=shoes,Adza Men Casual/Running Sports Shoes Eva Sole,   439.00 -    489.00,3.7 out of 5 stars,not reviewed,0
30,"   1,999.00",in stock,https://www.amazon.in/Ethics-Mens-Nitro-Running-Shoes/dp/B07C96H12S/ref=sr_1_31?s=shoes&ie=UTF8&qid=1524211788&sr=1-31&keywords=shoes,Ethics Men's Nitro Series Mesh Running Shoes,   699.00,0,not reviewed,0
31,0,in stock,https://www.amazon.in/Ethics-Perfect-Casual-Sneakers-10/dp/B07B7PJZF8/ref=sr_1_32?s=shoes&ie=UTF8&qid=1524211788&sr=1-32&keywords=shoes,Ethics Men's Perfect Combo Pack of 2 Casual Sneakers Shoes,   525.00,4.7 out of 5 stars,not reviewed,0
32,"   1,497.00",in stock,https://www.amazon.in/Tempo-Multicolor-Synthetic-Combo-Loafers/dp/B0756T5K1V/ref=sr_1_33?s=shoes&ie=UTF8&qid=1524211788&sr=1-33&keywords=shoes,Tempo Men's Combo Pack of 3 Loafers Shoes,0,3.6 out of 5 stars,not reviewed,   599.00
33,"   3,999.00",in stock,https://www.amazon.in/Adidas-Raddis-Visgre-Cblack-Running/dp/B079QTGHF9/ref=sr_1_34?s=shoes&ie=UTF8&qid=1524211788&sr=1-34&keywords=shoes,Adidas Men's Raddis M Running Shoes,"   2,679.00",4.5 out of 5 stars,not reviewed,0
34,"   2,500.00",In stock.,https://www.amazon.in/MAGNETIC-FASHION-Corporate-Outdoors-Sneakers/dp/B079KR37QX/ref=sr_1_35?s=shoes&ie=UTF8&qid=1524211788&sr=1-35&keywords=shoes,"MAGNETIC FASHION Casuals Canvas Shoes, Corporate Casuals, Casuals, Outdoors, Party Wear, Sneakers",   370.00,0,not reviewed,0
35,"   1,299.00",in stock,https://www.amazon.in/Kraasa-Mens-Black-Sneaker-10/dp/B06WVCQHF9/ref=sr_1_36?s=shoes&ie=UTF8&qid=1524211788&sr=1-36&keywords=shoes,Kraasa Men's Sneakers,   449.00 -    499.00,3.1 out of 5 stars,not reviewed,Lower price available on selected options
36,   499.00,in stock,https://www.amazon.in/Leewon-Mens-Canvas-Loafers-Moccasins-8/dp/B077MG6ZFH/ref=sr_1_37?s=shoes&ie=UTF8&qid=1524211788&sr=1-37&keywords=shoes,Leewon Men's Pilot Canvas Loafers & Moccasins,0,3.4 out of 5 stars,not reviewed,   298.00 -    375.00
37,"   1,249.00",in stock,https://www.amazon.in/Freedom-Daisy-Mens-Canvas-Sneakers/dp/B076SW2WGX/ref=sr_1_38?s=shoes&ie=UTF8&qid=1524211788&sr=1-38&keywords=shoes,Freedom Daisy Men's Canvas Casual Shoes Sneaker,   305.00 -    785.00,3.0 out of 5 stars,not reviewed,Lower price available on selected options
38,"   1,999.00",in stock,https://www.amazon.in/Ethics-Nitro-Grey-Running-Shoes/dp/B07BTWYJ32/ref=sr_1_39?s=shoes&ie=UTF8&qid=1524211788&sr=1-39&keywords=shoes,Ethics Men's Nitro Series Grey Mesh Running Shoes,   699.00,5.0 out of 5 stars,not reviewed,0
39,0,in stock,https://www.amazon.in/Sparx-Mens-Dark-Running-Shoes/dp/B01F38UBRK/ref=sr_1_40?s=shoes&ie=UTF8&qid=1524211788&sr=1-40&keywords=shoes,Sparx Men's Running Shoes,"   699.00 -    2,359.00",4.0 out of 5 stars,not reviewed,Lower price available on selected options
40,   499.00,In stock.,https://www.amazon.in/Leewon-Black-Canvas-Loafers-Moccasins-8/dp/B077MPYMCL/ref=sr_1_41?s=shoes&ie=UTF8&qid=1524211788&sr=1-41&keywords=shoes,Leewon Men's Black/Blue Canvas Loafers & Moccasins-8,0,3.4 out of 5 stars,not reviewed,   298.00
41,"   1,999.00",in stock,https://www.amazon.in/Afrojack-Mens-Nitro-Running-Shoes/dp/B079MHVNZ2/ref=sr_1_42?s=shoes&ie=UTF8&qid=1524211788&sr=1-42&keywords=shoes,Afrojack Men's Nitro Series Mesh Running Shoes,0,1.9 out of 5 stars,not reviewed,   699.00
42,"   1,299.00",in stock,https://www.amazon.in/Kraasa-Looks-2512-Sneakers-Red/dp/B07BR6P8C4/ref=sr_1_43?s=shoes&ie=UTF8&qid=1524211788&sr=1-43&keywords=shoes,Kraasa Men's Casual Sneakers,   449.00 -    499.00,3.0 out of 5 stars,not reviewed,Lower price available on selected options
43,   998.00,in stock,https://www.amazon.in/Tempo-Combo-Shoes-Sandal-DANGLE/dp/B07BQ9R2MV/ref=sr_1_44?s=shoes&ie=UTF8&qid=1524211788&sr=1-44&keywords=shoes,Tempo Men's Combo Pack Of 1 Shoes and 1 Sandal (DANGLE/SPR54),0,5.0 out of 5 stars,not reviewed,   549.00
44,"   2,995.00",in stock,https://www.amazon.in/Bond-Street-Red-Tape-Sneakers/dp/B079LLZ8GQ/ref=sr_1_45?s=shoes&ie=UTF8&qid=1524211788&sr=1-45&keywords=shoes,Bond Street by (Red Tape) Men's Sneakers,   896.00 -    898.00,4.7 out of 5 stars,not reviewed,0
45,   499.00,in stock,https://www.amazon.in/Ethics-Perfect-Stylish-Casual-Loafer/dp/B07B8RBWSY/ref=sr_1_46?s=shoes&ie=UTF8&qid=1524211788&sr=1-46&keywords=shoes,Ethics Perfect Stylish Men's Casual Loafer Shoes,   325.00 -    349.00,3.4 out of 5 stars,not reviewed,0
46,0,in stock,https://www.amazon.in/SCATCHITE-Boxer-Black-Canvas-Sneakers/dp/B01ADAXP9Y/ref=sr_1_47?s=shoes&ie=UTF8&qid=1524211788&sr=1-47&keywords=shoes,SCATCHITE Men's Black Faux Leather Casual Shoes,   324.00 -    880.00,3.4 out of 5 stars,not reviewed,Lower price available on selected options
47,"   1,996.00",in stock,https://www.amazon.in/Globalite-Casual-Shoes-Canvas-Sneakers/dp/B0793MQPRT/ref=sr_1_48?s=shoes&ie=UTF8&qid=1524211788&sr=1-48&keywords=shoes,Globalite Men's Casual Shoes / Canvas Sneakers ( Combo of 4 Pair Shoes),   899.00,3.9 out of 5 stars,not reviewed,0
48,0,in stock,https://www.amazon.in/Vogue-Stack-Running-Shoes-357/dp/B0793N8JWP/ref=sr_1_49?s=shoes&ie=UTF8&qid=1524211788&sr=1-49&keywords=shoes,Vogue Stack Men's Sky Blue Running Shoes (357),   498.00 -    499.00,4.4 out of 5 stars,not reviewed,0
49,   499.00,in stock,https://www.amazon.in/Globalite-Mens-Black-Canvas-Shoes-Uk/dp/B0796WHW1C/ref=sr_1_50?s=shoes&ie=UTF8&qid=1524211788&sr=1-50&keywords=shoes,Globalite Men's Casual Shoes Crux Black Grey GSC0461,   299.00,3.6 out of 5 stars,not reviewed,0
50,0,in stock,https://www.amazon.in/Vogue-Stack-Running-Shoes-267/dp/B0792V9TTH/ref=sr_1_51?s=shoes&ie=UTF8&qid=1524211788&sr=1-51&keywords=shoes,Vogue Stack Men's Red Running Shoes (267),   390.00 -    499.00,4.1 out of 5 stars,not reviewed,0
